goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkIntsClosures-16       	     686	   1871921 ns/op	  320147 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     684	   1762595 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     684	   1767994 ns/op	  320150 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     682	   1891649 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     632	   1787924 ns/op	  320158 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     680	   1765916 ns/op	  320150 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     681	   1776797 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     645	   1927578 ns/op	  320156 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     656	   1808168 ns/op	  320155 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     682	   1770960 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     682	   1808211 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     688	   1776647 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     675	   1783671 ns/op	  320153 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     685	   1796180 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkStrings-16            	  464602	      2351 ns/op	       1 B/op	       0 allocs/op
BenchmarkStrings-16            	  495198	      2323 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  506691	      2328 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  499140	      2302 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  505491	      2312 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  504565	      2289 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  492210	      2292 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  504084	      2300 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  504428	      2302 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  501679	      2308 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  481702	      2333 ns/op	       1 B/op	       0 allocs/op
BenchmarkStrings-16            	  493663	      2294 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  504237	      2298 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  503109	      2337 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  496238	      2304 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  498072	      2332 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  503701	      2283 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  495009	      2298 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  498768	      2378 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  499682	      2372 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  486866	      2295 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  496285	      2347 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  492627	      2322 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  496618	      2301 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  496096	      2287 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  500590	      2316 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  501903	      2334 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  498966	      2304 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  503628	      2294 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  498837	      2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  500476	      2347 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  495764	      2311 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  497084	      2288 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  500608	      2330 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  488464	      2317 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  501512	      2345 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  506403	      2316 ns/op	       0 B/op	       0 allocs/op
